fase;horario_sinal;horario_expiracao;ativo;estrategia;lado;entrada;saida;resultado;odd;stake_virtual;pnl_virtual
FORWARD_POS100;20/08/2026 14:25:00;20/08/2026 14:30:00;XLMUSDT;XLM_CHAL_RSI14_25_75_BB20;PUT;0.1887;0.1894;LOSS;1.8;5.0;-5.0
FORWARD_POS100;20/08/2026 14:25:00;20/08/2026 14:30:00;XLMUSDT;XLM_CHAL_RSI21_ATR02;PUT;0.1887;0.1894;LOSS;1.8;5.0;-5.0
FORWARD_POS100;20/08/2026 14:30:00;20/08/2026 14:35:00;XLMUSDT;XLM_CHAMP_RSI14_25_75;PUT;0.1894;0.1902;LOSS;1.8;5.0;-5.0
FORWARD_POS100;20/08/2026 14:30:00;20/08/2026 14:35:00;XLMUSDT;XLM_CHAL_RSI14_22_78;PUT;0.1894;0.1902;LOSS;1.8;5.0;-5.0
FORWARD_POS100;20/08/2026 14:30:00;20/08/2026 14:35:00;XLMUSDT;XLM_CHAL_RSI14_25_75_BB20;PUT;0.1894;0.1902;LOSS;1.8;5.0;-5.0
FORWARD_POS100;20/08/2026 14:30:00;20/08/2026 14:35:00;XLMUSDT;XLM_CHAL_RSI21_ATR02;PUT;0.1894;0.1902;LOSS;1.8;5.0;-5.0
FORWARD_POS100;20/08/2026 14:35:00;20/08/2026 14:40:00;XLMUSDT;XLM_CHAMP_RSI14_25_75;PUT;0.1902;0.1916;LOSS;1.8;5.0;-5.0
FORWARD_POS100;20/08/2026 14:35:00;20/08/2026 14:40:00;XLMUSDT;XLM_CHAL_RSI14_22_78;PUT;0.1902;0.1916;LOSS;1.8;5.0;-5.0
FORWARD_POS100;20/08/2026 14:35:00;20/08/2026 14:40:00;XLMUSDT;XLM_CHAL_RSI21_ATR02;PUT;0.1902;0.1916;LOSS;1.8;5.0;-5.0
FORWARD_POS100;20/08/2026 14:40:00;20/08/2026 14:45:00;XLMUSDT;XLM_CHAMP_RSI14_25_75;PUT;0.1916;0.1899;WIN;1.8;5.0;4.0
FORWARD_POS100;20/08/2026 14:40:00;20/08/2026 14:45:00;XLMUSDT;XLM_CHAL_RSI14_22_78;PUT;0.1916;0.1899;WIN;1.8;5.0;4.0
FORWARD_POS100;20/08/2026 14:40:00;20/08/2026 14:45:00;XLMUSDT;XLM_CHAL_RSI21_ATR02;PUT;0.1916;0.1899;WIN;1.8;5.0;4.0
FORWARD_POS100;20/08/2026 14:45:00;20/08/2026 14:50:00;XLMUSDT;XLM_CHAMP_RSI14_25_75;PUT;0.1899;0.1901;LOSS;1.8;5.0;-5.0
FORWARD_POS100;20/08/2026 14:45:00;20/08/2026 14:50:00;XLMUSDT;XLM_CHAL_RSI14_22_78;PUT;0.1899;0.1901;LOSS;1.8;5.0;-5.0
FORWARD_POS100;20/08/2026 14:45:00;20/08/2026 14:50:00;XLMUSDT;XLM_CHAL_RSI21_ATR02;PUT;0.1899;0.1901;LOSS;1.8;5.0;-5.0
